Title,Year,IMDB rating,Metascore,Votes,Description,Type
Dom na końcu ulicy,(2012),5.6,31        ,66701,"
    After moving with her mother to a small town, a teenager finds that an accident happened in the house at the end of the street. Things get more complicated when she befriends a boy who was the only survivor of the accident.","
Drama, Horror, Thriller            "
SpongeBob: Na suchym lądzie,(2015),6.0,62        ,44290,"
    When a diabolical pirate above the sea steals the secret Krabby Patty formula, SpongeBob and his nemesis Plankton must team up in order to get it back.","
Animation, Adventure, Comedy            "
Golem z Limehouse,(2016),6.3,63        ,15010,"
    In Victorian London, a Scotland Yard inspector hunts down the sadistic killer behind a series of gory, Jack the Ripper-Like murders.","
Crime, Mystery, Thriller            "
Sygnał,(2014),6.1,54        ,58737,"
    On a road trip, Nic and two friends are drawn to an isolated area by a computer genius. When everything suddenly goes dark, Nic regains consciousness - only to find himself in a waking nightmare.","
Drama, Mystery, Sci-Fi            "
Czlowiek Tai Chi,(2013),6.1,52        ,33375,"
    A young martial artist's unparalleled Tai Chi skills land him in a highly lucrative underworld fight club.","
Action, Drama            "
Woda dla sloni,(2011),6.9,52        ,106395,"
    Set in the 1930s, a former veterinary student takes a job in a travelling circus and falls in love with the ringmaster's wife.","
Drama, Romance            "
Na wlasne ryzyko,(2012),7.0,72        ,112538,"
    Three magazine employees head out on an assignment to interview a guy who placed a classified advertisement seeking a companion for time travel.","
Comedy, Drama, Romance            "
Syn swego kraju,(2019),5.6,63        ,1270,"
    A young African-American living in Chicago enters into a seductive new world of money and power after he is hired as a chauffeur for an affluent businessman.","
Drama            "
Niebezpieczna metoda,(2011),6.4,76        ,93784,"
    A look at how the intense relationship between Carl Jung and Sigmund Freud gives birth to psychoanalysis.","
Biography, Drama, Romance            "
Slowo na M,(2013),6.8,59        ,65232,"
    Wallace, who is burned out from a string of failed relationships, forms an instant bond with Chantry, who lives with her longtime boyfriend. Together, they puzzle out what it means if your best friend is also the love of your life.","
Comedy, Romance            "
Uprowadzona 2,(2012),6.2,45        ,274980,"
    In Istanbul, retired CIA operative Bryan Mills and his wife are taken hostage by the father of a kidnapper Mills killed while rescuing his daughter.","
Action, Thriller            "
Centurion,(2010),6.4,62        ,74524,"
    A splinter group of Roman soldiers fight for their lives behind enemy lines after their legion is devastated in a guerrilla attack.","
Action, Drama, History            "
Rover,(2014),6.4,64        ,41046,"
    10 years after a global economic collapse, a hardened loner pursues the men who stole his only possession, his car. Along the way, he captures one of the thieves' brother, and the duo form an uneasy bond during the dangerous journey.","
Action, Crime, Drama            "
Sejf,(2017),4.8,50        ,10622,"
    Two estranged sisters are forced to rob a bank in order to save their brother. But this is no ordinary bank.","
Crime, Horror, Mystery            "
Regression,(2015),5.7,32        ,33737,"
    A detective and a psychoanalyst uncover evidence of a satanic cult while investigating a young woman's terrifying past.","
Crime, Horror, Mystery            "
Jobs,(2013),5.9,44        ,89480,"
    The story of Steve Jobs' ascension from college dropout into one of the most revered creative entrepreneurs of the 20th century.","
Biography, Drama            "
MacGruber,(2010),5.5,43        ,40197,"
    Former special operative MacGruber is called back into action to take down his arch-enemy, Dieter Von Cunth, who's in possession of a nuclear warhead and bent on destroying Washington, D.C.","
Action, Comedy, Romance            "
Dorwac byla,(2010),5.6,22        ,113513,"
    A bounty hunter learns that his next target is his ex-wife, a reporter working on a murder cover-up. Soon after their reunion, the always-at-odds duo find themselves on a run-for-their-lives adventure.","
Action, Comedy, Romance            "
Just Getting Started,(2017),4.4,21        ,5015,"
    A two-hander action comedy in the vein of Midnight Run (1988), about an ex-F.B.I. Agent (Tommy Lee Jones) and an ex-mob lawyer in the Witness Protection Program (Morgan Freeman) having to put aside their petty rivalry on the golf course to fend off a mob hit.","
Action, Comedy            "
Sinister 2,(2015),5.3,32        ,42737,"
    A young mother and her twin sons move into a rural house that's marked for death.","
Horror, Mystery, Thriller            "
Give Me Liberty,(2019),7.3,73        ,258,"
    In this freewheeling comedy, medical transport driver Vic risks his job to shuttle a group of rowdy seniors and a Russian boxer to a funeral, dragging clients like Tracy, a young woman with ALS, along for the ride.","
Comedy            "
Niewidzialny wróg,(2015),7.3,73        ,73037,"
    Col. Katherine Powell, a military officer in command of an operation to capture terrorists in Kenya, sees her mission escalate when a girl enters the kill zone triggering an international dispute over the implications of modern warfare.","
Drama, Thriller, War            "
Silent Hill: Apokalipsa,(2012),5.0,16        ,57230,"
    When her adoptive father disappears, Sharon Da Silva is drawn into a strange and terrifying alternate reality that holds answers to the horrific nightmares that have plagued her since childhood.","
Horror            "
The Festival,(2018),5.9,57        ,4117,"
    After Nick's girlfriend dumps him, his best mate Shane has the perfect antidote to his break-up blues: three days at an epic music festival.","
Comedy            "
Gniewne psy,(2016),5.8,50        ,15463,"
    Two corrupt cops set out to blackmail and frame every criminal unfortunate enough to cross their path. Events, however, are complicated by the arrival of someone who appears to be even more dangerous than they are.","
Action, Comedy            "
Future World,(2018),3.1,10        ,4462,"
    A young boy searches a future world wasteland for a rumored cure for his dying mother.","
Action, Adventure, Sci-Fi            "
Obrońcy skarbów,(2014),6.1,52        ,118366,"
    An unlikely World War II platoon is tasked to rescue art masterpieces from Nazi thieves and return them to their owners.","
Comedy, Drama, History            "
Na desce,(2011),6.3,42        ,22545,"
    Former skateboard champion Kim wants to make more money after her mother's tragic death. She joins the elite posh servicing company, which sends her off to Austria.","
Comedy, Romance, Sport            "
Aniara,(2018),6.4,58        ,1033,"
    A spaceship carrying settlers to Mars is knocked off course, causing the consumption-obsessed passengers to consider their place in the universe.","
Drama, Sci-Fi            "
Operacja Anthropoid,(2016),7.2,59        ,38749,"
    Based on the extraordinary true story of Operation Anthropoid, the WWII mission to assassinate SS General Reinhard Heydrich, the main architect behind the Final Solution and the Reich's third in command after Hitler and Himmler.","
Biography, History, Thriller            "
Na szlaku,(2014),6.0,62        ,16255,"
    An urban couple go camping in the woods and find themselves lost in the territory of a predatory black bear.","
Adventure, Drama, Horror            "
V/H/S,(2012),5.8,55        ,53562,"
    When a group of misfits are hired by an unknown third party to burglarize a desolate house and acquire a rare VHS tape, they discover more found footage than they bargained for.","
Horror, Thriller            "
McFarland,(2015),7.4,60        ,32123,"
    Jim White moves his family after losing his last job as a football coach. He sees that some of the students are worth starting a cross-country team and turns seven students with no hope into one of the best cross-country teams.","
Biography, Drama, Sport            "
Hagazussa,(2017),5.9,72        ,2023,"
    Paranoia & Superstition in 15th Century Europe.","
Drama, Horror            "
Happy Feet: Tupot małych stóp 2,(2011),5.9,50        ,38781,"
    Mumble's son, Erik, is struggling to realize his talents in the Emperor Penguin world. Meanwhile, Mumble and his family and friends discover a new threat their home -- one that will take everyone working together to save them.","
Animation, Adventure, Comedy            "
Firmowa Gwiazdka,(2016),5.8,42        ,60178,"
    When his uptight CEO sister threatens to shut down his branch, the branch manager throws an epic Christmas party in order to land a big client and save the day, but the party gets way out of hand...","
Comedy            "
Azyl,(2017),7.0,57        ,32731,"
    The Zookeeper's Wife tells the account of keepers of the Warsaw Zoo, Antonina and Jan Zabinski, who helped save hundreds of people and animals during the German invasion.","
Biography, Drama, History            "
Opłacone krwią,(2016),6.8,62        ,22319,"
    The inspirational story of World Champion Boxer Vinny Pazienza who, after a near fatal car crash which left him not knowing if he'd ever walk again, made one of sport's most incredible comebacks.","
Biography, Drama, Sport            "
Bohater,(2017),6.5,61        ,6967,"
    An ailing movie star comes to terms with his past and mortality.","
Drama, Romance            "
Dlug,(2010),6.8,65        ,61479,"
    In 1965, three Mossad agents cross into East Berlin to apprehend a notorious Nazi war criminal. Thirty years later, the secrets the agents share come back to haunt them.","
Drama, Thriller            "
Mektoub. Moja milosc: Piesn pierwsza,(2017),6.5,59        ,1924,"
    A teen boy comes back to his hometown during summer vacation in search for love (in 1994).","
Comedy, Romance            "
Gliniarz,(2011),7.3,78        ,75674,"
    An unorthodox Irish policeman with a confrontational personality is partnered with an up-tight F.B.I. agent to investigate an international drug-smuggling ring.","
Comedy, Crime, Thriller            "
Projekt Lazarus,(2015),5.2,31        ,38200,"
    A group of medical researchers discover a way to bring dead patients back to life.","
Horror, Mystery, Sci-Fi            "
Opiekun,(2016),7.3,55        ,49759,"
    A man suffering a family loss enrolls in a class about care-giving that changes his perspective on life.","
Comedy, Drama            "
Zanurzeni,(2017),5.4,38        ,5709,"
    In a room with no windows on the eastern coast of Africa, a Scotsman, James More, is held captive by jihadist fighters. Thousands of miles away in the Greenland Sea, Danielle Flinders ...                See full summary »
","
Drama, Romance, Thriller            "
Odwet,(2018),4.2,19        ,4428,"
    A bank manager haunted by a violent heist that took the life of a coworker teams up with his ex-cop neighbor to bring down the assailant, initiating an explosive counterattack that brings all three men to the breaking point.","
Action, Crime, Thriller            "
